,Recipe ID,Ingredients
0,AME_01,"['1 Cup  all-purpose flour', '1 tbsp sugar', '1 tsp baking powder', 'A pinch of salt', '1  ripe banana, mashed', '1 cup milk', '2 tbsp melted butter or oil']"
1,AME_02,"['1 Cup leftover cooked rice', '1 cup all-purpose flour', '1 tbsp granulated sugar', '1 tsp baking powder', '1/2 tsp baking soda', '1/4 tsp salt', '1 cup buttermilk/milk', '1 large egg', '2 tbsp melted butter/oil', '1 tbsp vanilla extract (optional)']"
2,AME_03,"['4 tsp oil', '2  boiled potatoes', '1 tsp butter', '1  onion , chopped', '1  Tomato', '1  capsicum , chopped', 'coriander , chopped', '1/2 cup diced paneer', '1 tsp garlic paste', '1 tsp coriander powder', '1 tsp garam masala', '1 tsp red chili powder', 'Salt to taste', '2 hot dog buns', 'Tomato sauce', 'Mint chutney', 'Mustard sauce', 'Mayonnaise', '2 cheese slices', 'Tomato sauce', 'Salt as per taste']"
3,AME_04,"['2  Ripe Banana', '2  Eggs', '1 tsp vanilla extract', '1/2 cups quick-cook oats', '1 tsp cinnamon']"
4,AME_05,"['2  Bananas', '2  Eggs', '2 tbsp oats/flour']"
5,AME_06,"['1  whole turkey', '100 gms butter', '100 gms onion, chopped', '100 gms celery, chopped', '10 gms crumbled sage and thyme', 'to taste salt and pepper', '10 gms garlic minced', 'balsamic vinegar', '20 gms sugar', '150 gms cranberry']"
6,AME_07,"['30 gms babycorn', '30 gms carrot', '20 gms water chestnuts', '15 ml coconut milk', '20 gms pineapple', '0.5 gms negi (welsh onion)', '0.5 gms red quinoa', '2 gms himalayan salt', '0.5 gms black pepper', '20 gms sweet corn', '30  coriander green', '40 gms lemon', '0.5 gms micro green']"
7,AME_08,"['1 Cup Yellow cornmeal', '1 tsp Sugar', '1/2 tsp Baking soda', '1/2 tsp Salt', '1 cup Buttermilk (well-shaken)', '1  Egg', '1/4 pound  Cheddar (extra sharp), grated', '1/4 cup Scallion (white and pale green parts only), finely chopped', '1-2 tbsp Pickled jalapenos (drained), finely chopped', '1/4 cup Unsalted butter, melted', 'Special equipment:', '2  Well-seasoned cast-iron corn-stick pans', '(Each with 7 (5- by 1 1/2-inch) molds*, or a well-seasoned 9-inch cast-iron skillet)']"
8,AME_09,"['80 Gram Prawns', '15 gram Gherkin', '15  Onion', '5 gram Cilantro', '15 gram Mix bell pepper', '15 ml Tiger milk', '25 gram Sweet corn', '2 gram Sea salt', '1 gram Black pepper', '25 ml Green lemon juice', '15 gram Cherry tomato', '2 gram Edible flower', 'For Tiger milk:', '1 tsp Coriander stems, chopped', '1/2 tsp Celery stalks', '1/4 tsp Garlic', '1/4 tsp Ginger', '1 tsp Red onion', '30 ml Lemon juice', '3-4 gram Sea salt', '2-3 gram Black pepper']"
9,AME_10,"['1 Cup Quinoa', '1/2 cup Milk', '1 tsp Olive oil', '1  Egg (slightly beaten)', '1/2 tsp Baking powder', '1/2 tsp Orange essence', '2 tbsp Castor sugar', '2 tbsp Maple syrup', '7-8  Strawberries (to garnish)']"
